,Dir,Label
0,gdrive/MyDrive/Dataset/receipt_highland/highland1.png,1
1,gdrive/MyDrive/Dataset/receipt_highland/highland1.png,1
2,gdrive/MyDrive/Dataset/receipt_highland/highland1_1.png,0
3,gdrive/MyDrive/Dataset/receipt_highland/highland1_2.png,0
4,gdrive/MyDrive/Dataset/receipt_highland/highland1_3.png,0
5,gdrive/MyDrive/Dataset/receipt_highland/highland2.png,1
6,gdrive/MyDrive/Dataset/receipt_highland/highland2.png,1
7,gdrive/MyDrive/Dataset/receipt_highland/highland2_1.png,0
8,gdrive/MyDrive/Dataset/receipt_highland/highland2_2.png,0
9,gdrive/MyDrive/Dataset/receipt_highland/highland2_3.png,0
10,gdrive/MyDrive/Dataset/receipt_highland/highland3.png,1
11,gdrive/MyDrive/Dataset/receipt_highland/highland3.png,1
12,gdrive/MyDrive/Dataset/receipt_highland/highland3_1.png,0
13,gdrive/MyDrive/Dataset/receipt_highland/highland3_2.png,0
14,gdrive/MyDrive/Dataset/receipt_highland/highland3_3.png,0
15,gdrive/MyDrive/Dataset/receipt_highland/highland4.png,1
16,gdrive/MyDrive/Dataset/receipt_highland/highland4.png,1
17,gdrive/MyDrive/Dataset/receipt_highland/highland4_1.png,0
18,gdrive/MyDrive/Dataset/receipt_highland/highland4_2.png,0
19,gdrive/MyDrive/Dataset/receipt_highland/highland4_3.png,0
20,gdrive/MyDrive/Dataset/receipt_highland/highland5.png,1
21,gdrive/MyDrive/Dataset/receipt_highland/highland5.png,1
22,gdrive/MyDrive/Dataset/receipt_highland/highland5_1.png,0
23,gdrive/MyDrive/Dataset/receipt_highland/highland5_2.png,0
24,gdrive/MyDrive/Dataset/receipt_highland/highland5_3.png,0
25,gdrive/MyDrive/Dataset/receipt_highland/highland6.png,1
26,gdrive/MyDrive/Dataset/receipt_highland/highland6.png,1
27,gdrive/MyDrive/Dataset/receipt_highland/highland6_1.png,0
28,gdrive/MyDrive/Dataset/receipt_highland/highland6_2.png,0
29,gdrive/MyDrive/Dataset/receipt_highland/highland6_3.png,0
30,gdrive/MyDrive/Dataset/receipt_highland/highland7.png,1
31,gdrive/MyDrive/Dataset/receipt_highland/highland7.png,1
32,gdrive/MyDrive/Dataset/receipt_highland/highland7_1.png,0
33,gdrive/MyDrive/Dataset/receipt_highland/highland7_2.png,0
34,gdrive/MyDrive/Dataset/receipt_highland/highland7_3.png,0
35,gdrive/MyDrive/Dataset/receipt_highland/highland8.png,1
36,gdrive/MyDrive/Dataset/receipt_highland/highland8.png,1
37,gdrive/MyDrive/Dataset/receipt_highland/highland8_1.png,0
38,gdrive/MyDrive/Dataset/receipt_highland/highland8_2.png,0
39,gdrive/MyDrive/Dataset/receipt_highland/highland8_3.png,0
40,gdrive/MyDrive/Dataset/receipt_highland/highland9.png,1
41,gdrive/MyDrive/Dataset/receipt_highland/highland9.png,1
42,gdrive/MyDrive/Dataset/receipt_highland/highland9_1.png,0
43,gdrive/MyDrive/Dataset/receipt_highland/highland9_2.png,0
44,gdrive/MyDrive/Dataset/receipt_highland/highland9_3.png,0
45,gdrive/MyDrive/Dataset/receipt_highland/highland10.png,1
46,gdrive/MyDrive/Dataset/receipt_highland/highland10.png,1
47,gdrive/MyDrive/Dataset/receipt_highland/highland10_1.png,0
48,gdrive/MyDrive/Dataset/receipt_highland/highland10_2.png,0
49,gdrive/MyDrive/Dataset/receipt_highland/highland10_3.png,0
50,gdrive/MyDrive/Dataset/receipt_highland/highland11.png,1
51,gdrive/MyDrive/Dataset/receipt_highland/highland11.png,1
52,gdrive/MyDrive/Dataset/receipt_highland/highland11_1.png,0
53,gdrive/MyDrive/Dataset/receipt_highland/highland11_2.png,0
54,gdrive/MyDrive/Dataset/receipt_highland/highland11_3.png,0
55,gdrive/MyDrive/Dataset/receipt_highland/highland12.png,1
56,gdrive/MyDrive/Dataset/receipt_highland/highland12.png,1
57,gdrive/MyDrive/Dataset/receipt_highland/highland12_1.png,0
58,gdrive/MyDrive/Dataset/receipt_highland/highland12_2.png,0
59,gdrive/MyDrive/Dataset/receipt_highland/highland12_3.png,0
60,gdrive/MyDrive/Dataset/receipt_highland/highland13.png,1
61,gdrive/MyDrive/Dataset/receipt_highland/highland13.png,1
62,gdrive/MyDrive/Dataset/receipt_highland/highland13_1.png,0
63,gdrive/MyDrive/Dataset/receipt_highland/highland13_2.png,0
64,gdrive/MyDrive/Dataset/receipt_highland/highland13_3.png,0
65,gdrive/MyDrive/Dataset/receipt_highland/highland14.png,1
66,gdrive/MyDrive/Dataset/receipt_highland/highland14.png,1
67,gdrive/MyDrive/Dataset/receipt_highland/highland15.png,1
68,gdrive/MyDrive/Dataset/receipt_highland/highland15.png,1
69,gdrive/MyDrive/Dataset/receipt_highland/highland16.png,1
70,gdrive/MyDrive/Dataset/receipt_highland/highland16.png,1
71,gdrive/MyDrive/Dataset/receipt_highland/highland17.png,1
72,gdrive/MyDrive/Dataset/receipt_highland/highland17.png,1
73,gdrive/MyDrive/Dataset/receipt_highland/highland18.png,1
74,gdrive/MyDrive/Dataset/receipt_highland/highland18.png,1
75,gdrive/MyDrive/Dataset/receipt_highland/highland19.png,1
76,gdrive/MyDrive/Dataset/receipt_highland/highland19.png,1
